Name,Review stars,Brand,Price,Capacity,Access Location
Voltas beko 7.2 kg Semi Automatic twin tub Washing machine (WTT72) Burgundy,3.9 out of 5 stars,Voltas Beko,"8,990",NaN,NaN
"Samsung 7 Kg Inverter 5 Star Fully-Automatic Top Load Eco Bubble Washing Machine (WA70BG4441YYTL, Bubble Storm Technology, Lavender Gray)",4.2 out of 5 stars,Samsung,"17,990",Capacity 7 Kilograms,Access Location Top Load
"LG 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (P7020NGAZ, Dark Gray, Wind Jet Dry)",4.3 out of 5 stars,LG,"11,990",Capacity 7 Kilograms,Access Location Top Load
"Lg 7 Kg 5 Star Inverter Fully-Automatic Top Loading Washing Machine (T70Sksf1Z, Middle Free Silver, Turbodrum)",4.3 out of 5 stars,NaN,"17,990",NaN,NaN
"Samsung 6.0 Kg 5 Star Semi-Automatic Top Loading Washing Machine (WT60R2000LL/TL, Light Grey, Center jet technology)",4.2 out of 5 stars,NaN,"8,990",NaN,NaN
"Samsung 6.0 Kg Inverter 5 Star Fully-Automatic Front Loading Washing Machine (WW60R20GLMA/TL, White, Hygiene Steam)",4.4 out of 5 stars,Samsung,"22,490",Capacity 6 Kilograms,NaN
"Whirlpool 6.5 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6.5 GENX, Grey, Hard Water Wash)",4.2 out of 5 stars,Whirlpool,"14,740",Capacity 6.5 Kilograms,Access Location Top Load
"Whirlpool 7 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 7.0 GENX, Grey, Hard Water Wash)",4.2 out of 5 stars,Whirlpool,"15,790",Capacity 7 Kilograms,Access Location Top Load
"Samsung 7.0 Kg 5 Star Semi-Automatic Top Loading Washing Machine (WT70M3000UU/TL, LIGHT GRAY, Double Storm Pulsator)",4.2 out of 5 stars,Samsung,"10,690",Capacity 7 Kilograms,NaN
"Whirlpool 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (SUPERB ATOM 7.0, Grey Dazzle, TurboScrub Technology)",4.3 out of 5 stars,Whirlpool,"10,240",Capacity 7 Kilograms,Access Location Top Load
