Name,Review stars,Brand,Price,Capacity(Kg),Access Location
"Samsung 7 Kg Inverter 5 Star Fully-Automatic Top Load Eco Bubble Washing Machine (WA70BG4441YYTL, Bubble Storm Technology, Lavender Gray)",4.2,Samsung,17990,7,Top Load
"LG 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (P7020NGAZ, Dark Gray, Wind Jet Dry)",4.3,LG,11990,7,Top Load
"Whirlpool 6.5 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6.5 GENX, Grey, Hard Water Wash)",4.2,Whirlpool,14740,6.5,Top Load
"Whirlpool 7 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 7.0 GENX, Grey, Hard Water Wash)",4.2,Whirlpool,15790,7,Top Load
"Whirlpool 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (SUPERB ATOM 7.0, Grey Dazzle, TurboScrub Technology)",4.3,Whirlpool,10240,7,Top Load
"IFB 6 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (DIVA PLUS BXS 6008, White & Black, Active Color Protection, Hard Water Wash)",4.2,IFB,22990,6,Front Load
"Samsung 7 Kg Inverter 5 Star Fully-Automatic Top Load Eco Bubble Washing Machine (WA70BG4441YYTL, Bubble Storm Technology, Lavender Gray)",4.2,Samsung,17990,7,Top Load
"Onida 6.5 kg Washer Only (WS65WLPT1LR Liliput, Lava Red)",4.2,Onida,5590,6.5,Top Load
"Whirlpool 6 Kg 5 Star Royal Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL 6.0 GENX, Satin Grey, Hard Water Wash)",4.3,Whirlpool,14290,6,Top Load
"ONIDA 8 kg 5 Star Fully Automatic Top Load Washing Machine (T80CMB, Black, Hexa Crystal Drum)",4.2,Onida,15790,8,Top Load
"Samsung 7 Kg Inverter 5 star Fully-Automatic Top Load Ecobubble Washing Machine (WA70BG4545BGTL, Bubble Storm & Super Speed technology, Light Gray)",4.2,Samsung,19490,7,Top Load
"DMR 3 kg Portable Mini Washing Machine with Dryer Basket (DMR 30-1208, Blue) (with 1 year Free Spare Supply Warranty)",3.7,DMR,5499,3,Top Load
"LG 8 Kg 5 Star Semi-Automatic Top Loading Washing Machine (P8030SRAZ, Burgundy, Collar Scrubber)",4.4,LG,13490,8,Top Load
"IFB 6 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (DIVA AQUA SXS 6008, Silver, Active Color Protection, Hard Water Wash)",4.2,IFB,23790,6,Front Load
"Whirlpool 7.5 Kg 5 Star Royal Plus Fully-Automatic Top Loading Washing Machine (WHITEMAGIC ROYAL PLUS 7.5, Grey, Hard Water Wash)",4.2,Whirlpool,17740,7.5,Top Load
"Samsung 9 Kg WiFi Enabled Inverter 5 Star Fully-Automatic Top Load Ecobubble Washing Machine (WA90BG4542BDTL, Bubble Storm technology, Dark Gray)",3.7,Samsung,24790,9,Top Load
"Onida 9.0 kg Top Load Washer Only (W90W, Lava Red)",4.2,Onida,6290,9,Top Load
"IFB 7.0 Kg 5 Star Top Load Washing Machine Aqua Conserve (TL-RES 7.0KG AQUA, Light Grey, Hard Water Wash, Smart Sense)",4.1,IFB,19590,7,Top Load
"Godrej 7 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTEON 700 AD 5.0 ROGR, Grey, Acu Wash Drum)",4.2,Godrej,14890,7,Top Load
"Samsung 8 Kg Inverter 5 Star Fully-Automatic Top Load Ecobubble Washing Machine (WA80BG4441BGTL, Bubble Storm Technology, Light Gray)",4.0,Samsung,20990,8,Top Load
"IFB 5.5 kg Fully-automatic Dryer (TURBO DRY,white,Inbuilt Heater, Allergy Free Technology",3.9,IFB,19490,5.5,Front Load
"Samsung 7 Kg WiFi Enabled Inverter 5 Star Fully-Automatic Top Load Ecobubble Washing Machine (WA70BG4582BYTL, Hygiene Steam with in-built Heater, Lavender Gray)",4.2,Samsung,22290,7,Top Load
Bosch 8 kg 5 Star 1400RPM INVERTER TOUCH CONTROL Fully Automatic Front Load with Heater Silver  (WAJ28262IN),4.4,Bosch,36990,8,Front Load
"Godrej 7 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTEON 700 5.0 AP GPGR, Graphite Grey)",4.1,Godrej,13990,7,Top Load
"Whirlpool 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (SUPERB ATOM 7.0, Grey Dazzle, TurboScrub Technology)",4.3,Whirlpool,10240,7,Top Load
"Bosch 7 kg 5 Star Inverter Touch Control Fully Automatic Front Loading Washing Machine with In - built Heater (WAJ2416SIN, Silver)",4.5,Bosch,32790,7,Front Load
"AmazonBasics 6 Kg Fully Automatic Top Loading Washing Machine, Grey",3.8,AmazonBasics,13290,6,Top Load
Sansui 6.5 kg Fully Automatic Top Load Washing Machine JSP65FTL- 2024B (Ash Grey) With Fuzzy Logic,3.3,SANSUI,12490,6.5,Top Load
"LG 10 Kg 5 Star Smart Inverter Fully-Automatic Top Load Washing Machine (T10SJMB1Z, Middle Black, TurboDrum | Jet Spray+)",4.3,LG,27990,10,Top Load
"IFB 5.5 kg Fully-automatic Dryer (TURBO DRY EX, Silver, Wall Mountable,Anti crease)",3.8,IFB,20690,5.5,Front Load
"Samsung 8 Kg Inverter 5 star Fully-Automatic Top Load Ecobubble Washing Machine (WA80BG4545BYTL, Bubble Storm & Super Speed technology, Lavender Gray)",4.0,Samsung,21990,8,Top Load
"IFB 8 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (Senator VSS 8012, White & Black, Active Color Protection, Hard Water Wash)",4.2,IFB,34490,8,Front Load
Whirlpool 7.5 Kg 5 Star Semi-Automatic Top Loading Washing Machine (ACE 7.5 TRB DRY MAX GREY DAZZELE(5YR)),4.5,Whirlpool,12740,7.5,Top Load
"LG 8 Kg 5 Star Inverter Touch panel Fully-Automatic Front Load Washing Machine with In-Built Heater (FHM1408BDM, Middle Black, Steam for Hygiene Wash)",4.4,LG,34990,8,Front Load
"Samsung 8 Kg 5 Star AI Control & Wi-Fi, Fully-Automatic Front Loading Washing Machine (WW80T504DAB1TL, Black Caviar, Digital Inverter)",4.3,Samsung,36990,8,Front Load
"iFFALCON 7 Kg Fully-Automatic Front Load Washing Machine with In-built Heater (FWF70-G123061A03S, Silver, Honey Comb Crystal Drum, 16 Wash Program)",3.5,iFFALCON,16990,7,Front Load
"Samsung 8.0 Kg Semi-Automatic 5 Star Top Loading Washing Machine (WT80R4000RG/TL, Light Grey, Wine Red Lid (Opaque), Hexa Storm Pulsator)",4.3,Samsung,12990,8,Top Load
"Whirlpool 9 Kg 5 Star Semi-Automatic Top Loading Washing Machine (ACE XL 9, Graphite Grey, 3D Scrub Technology)",4.1,Whirlpool,15990,9,Top Load
"Bosch 8 kg 5 Star Touch Control Fully Automatic Front Load with Heater (WAJ2426AIN, White)",4.4,Bosch,33490,8,Front Load
"Whirlpool 7.5 Kg 5 Star Fully-Automatic Top Loading Washing Machine with In-Built Heater (360 BLOOMWASH PRO (540) H 7.5, Graphite, Hexa Bloom Impeller)",4.1,Whirlpool,22990,7.5,Top Load
"IFB 8 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (SENATOR WSS 8014, Silver, Active Colour Protection, Hard Water Wash)",4.2,IFB,37000,8,Front Load
